reTau,imTau,coneDeficit,margin
0.7264529,0.6392006,3.01981e-14,3.39662e-8
0.7264698,0.6392058,1.95399e-14,1.77510e-8
0.7264893,0.639209,4.44089e-14,3.12277e-8
0.7265036,0.6392123,2.22045e-14,6.60577e-8
0.7265241,0.639219,9.76996e-15,7.11291e-8
0.7265434,0.6392244,5.32907e-14,1.81374e-8
0.7265591,0.6392298,1.59872e-14,3.57043e-8
0.7265794,0.6392305,1.50990e-14,3.39464e-8
0.7265961,0.6392386,3.28626e-14,5.21888e-8
0.726616,0.6392413,1.59872e-14,6.30418e-9
0.7266315,0.6392455,3.10862e-14,1.49910e-8
0.7266523,0.6392495,2.30926e-14,3.70892e-8
0.7266656,0.6392538,9.76996e-15,2.15369e-8
0.7266869,0.6392544,2.13163e-14,1.54343e-8
0.7267071,0.6392555,3.90799e-14,4.16771e-8
0.7267235,0.6392593,3.19744e-14,2.30931e-8
0.7267439,0.6392586,2.66454e-14,1.58082e-8
0.7267617,0.6392622,1.86517e-14,6.34084e-8
0.7267762,0.6392649,3.73035e-14,4.76569e-9
0.7267934,0.6392662,3.01981e-14,3.49408e-9
0.7268084,0.6392672,4.61853e-14,3.38037e-8
0.7268228,0.6392739,4.26326e-14,3.40503e-8
0.7268374,0.6392765,2.66454e-14,5.70871e-8
0.7268555,0.6392782,1.42109e-14,1.06908e-8
0.7268669,0.6392835,3.01981e-14,3.90580e-9
0.7268825,0.6392852,1.59872e-14,2.18320e-8
0.7268925,0.6392888,1.86517e-14,1.98864e-8
0.7268997,0.6392901,1.42109e-14,3.06803e-9
0.7269118,0.6392912,4.44089e-14,1.29703e-8
0.7269245,0.6392928,2.75335e-14,1.94782e-8
0.7269371,0.6392976,3.90799e-14,1.88826e-8
0.7269518,0.6393006,3.73035e-14,1.64201e-8
0.7269656,0.6393032,3.28626e-14,3.44899e-8
0.7269793,0.639306,4.79616e-14,4.10993e-8
0.7269947,0.6393083,3.19744e-14,7.20646e-9
0.7270092,0.6393135,5.50671e-14,3.05481e-8
0.7270214,0.6393164,3.28626e-14,1.47259e-8
0.727031,0.6393187,3.90799e-14,3.74470e-8
0.7270454,0.6393206,2.84217e-14,3.87707e-8
0.7270561,0.6393221,4.08562e-14,1.11324e-8
0.727068,0.6393228,3.90799e-14,2.88057e-8
0.727079,0.6393252,3.10862e-14,4.43387e-8
0.7270885,0.639327,7.37188e-14,4.37554e-9
0.7270996,0.6393294,2.84217e-14,3.00274e-8
0.7271125,0.639331,2.66454e-14,9.97423e-9
0.7271252,0.6393311,8.17124e-14,3.39772e-8
0.7271364,0.6393322,9.41469e-14,2.92227e-8
0.7271481,0.6393345,3.28626e-14,8.52193e-9
0.727159,0.6393367,4.35207e-14,2.48656e-8
0.7271651,0.6393389,6.30607e-14,2.24288e-8
0.7271749,0.6393422,2.30926e-14,8.56520e-9
0.7271797,0.6393431,9.41469e-14,7.98142e-9
0.7271841,0.6393429,4.97380e-14,1.34663e-8
0.7271879,0.639343,4.17444e-14,9.96163e-9
0.727194,0.639344,1.24345e-14,3.24427e-9
0.7271984,0.6393455,7.90479e-14,2.43181e-8
