reTau,imTau,coneDeficit,margin
0,1.03177,2.48690e-14,0.000245358
0,1.015936,7.99361e-14,0.000865231
0,2.966304,3.55271e-15,0.000852524
0,1.02555,1.77636e-15,0.000944990
0,1.018042,1.77636e-15,0.000909218
0,2.070775,5.32907e-15,0.00238077
0,1.882292,2.66454e-15,0.00141326
0,3.227353,4.44089e-15,0.00303491
0,2.068799,2.66454e-15,0.00114715
0,0.996319,2.66454e-15,0.000396429
0,5.488449,5.32907e-15,0.000324232
0,1.020255,1.37668e-13,0.000603799
0,2.430277,4.44089e-15,0.00297471
0,1.018089,7.38964e-13,0.000870049
0,1.014994,8.88178e-16,0.000184917
0,3.877459,3.55271e-15,0.00235283
0,1.026823,2.66454e-15,0.000864146
0,3.964594,6.21725e-15,0.000282614
0,3.844699,2.66454e-15,0.00252574
0,1.017813,5.32907e-15,0.00178216
0,2.327659,3.55271e-15,0.00324607
0,1.011913,1.77636e-15,0.000521211
0,1.017993,1.94511e-13,0.00170082
0,2.703207,1.77636e-15,0.000565681
0,2.879969,7.10543e-15,0.000106573
0,5.227278,1.42109e-14,0.00121484
0,1.025133,2.66454e-15,0.00145044
0,1.781046,1.77636e-15,0.00166146
0,2.444046,9.59233e-14,0.000398317
0,1.02875,3.73035e-14,0.00192807
0,1.121768,2.66454e-15,0.00186050
0,8.87459,1.77636e-14,0.000691049
0,1.003755,1.77636e-15,0.000455661
0,1.020933,7.99361e-15,0.00141433
0,3.308372,5.32907e-15,0.00199487
0,1.027725,2.66454e-15,0.00121111
0,1.023604,1.77636e-15,0.000827621
0,11.42051,4.61853e-14,0.00167897
0,1.937149,6.22613e-13,0.0000725970
0,4.635156,7.01661e-14,0.000511907
0,11.28903,8.79297e-14,0.000634835
0,5.587241,7.10543e-15,0.00189707
0,2.608489,5.32907e-15,0.00311767
0,4.601513,4.44089e-15,0.00159918
0,12.8051,2.30926e-14,0.00157322
0,1.005692,3.22409e-13,0.00108920
0,4.347715,3.19744e-14,0.00145774
0,1.017935,5.32907e-15,0.00124367
0,1.007694,2.73559e-13,0.00149575
0,3.706028,1.06581e-14,0.00170894
0,1.019996,2.66454e-15,0.000128574
0,1.012852,3.90799e-14,0.000967307
0,5.57358,4.58300e-13,0.000691343
0,3.419154,7.10543e-15,0.000259147
0,3.764459,4.44089e-15,0.00226935
0,1.018311,1.77636e-15,0.00157185
0,3.914666,5.32907e-15,0.00158281
0,1.021996,3.55271e-15,0.000770031
0,4.923562,9.76996e-15,0.000914959
0,4.997954,7.10543e-15,0.00174907
0,1.021393,3.55271e-15,0.000587474
0,1.021343,2.66454e-15,0.0000788649
0,2.794241,3.55271e-15,0.00100315
0,4.378004,1.36779e-13,0.00141932
0,2.194713,3.55271e-15,0.00173533
0,1.014177,1.77636e-15,0.000624798
0,1.002958,2.66454e-15,0.000200550
0,1.009921,3.55271e-15,0.000708508
0,2.463719,1.06581e-14,0.00141820
0,2.000902,5.69322e-13,0.000434977
0,1.013557,2.66454e-15,0.000125155
0,5.507442,6.09290e-13,0.00169377
0,1.241653,9.05942e-14,0.00109359
0,3.9647,5.32907e-15,0.00229524
0,1.029276,1.77636e-15,0.000906000
0,2.729385,3.55271e-15,0.00162153
0,1.010106,4.35207e-14,0.000679278
0,6.132774,7.10543e-15,0.00257651
0,1.008857,3.55271e-15,0.000856124
0,2.633634,1.77636e-15,0.00158705
0,5.012826,1.15463e-14,0.00173085
0,2.52215,5.32907e-15,0.00303922
0,3.55649,6.21725e-15,0.00314127
0,4.572563,5.32907e-15,0.00151200
0,8.48726,1.24345e-14,0.000668327
0,1.02349,1.24345e-14,0.00119147
0,1.015846,2.66454e-15,0.000870129
0,1.02175,1.77636e-15,0.000902161
0,8.355048,1.86517e-13,0.000686554
0,2.972773,2.66454e-15,0.00190056
0,5.298286,1.06581e-14,0.00206876
0,2.197067,3.55271e-15,0.000648345
0,3.538169,1.15463e-13,0.00380487
0,8.045129,4.44089e-15,0.00126369
0,2.760117,2.22045e-14,0.000710036
0,1.019587,3.55271e-15,0.000831252
0,3.381858,3.25073e-13,0.00203376
0,4.77432,1.24345e-14,0.000119984
0,1.028414,3.55271e-15,0.00144951
0,1.040258,4.44089e-15,0.00106233
0,1.01637,2.66454e-15,0.000432919
0,1.021738,6.11955e-13,0.000660047
0,1.018819,3.60600e-13,0.00106061
0,3.800453,3.90799e-14,0.00118964
0,1.999504,3.55271e-15,0.000499605
0,12.6718,3.01981e-14,0.000875272
0,4.151539,1.06581e-14,0.00225454
0,1.018787,1.77636e-15,0.000768084
0,1.020612,3.55271e-14,0.000177499
0,6.086655,1.24345e-14,0.000918585
0,4.033713,1.06581e-14,0.00269726
0,3.193278,7.10543e-15,0.00254360
0,1.019436,2.91323e-13,0.000334317
0,2.237276,4.29878e-13,0.000421820
0,1.009964,2.66454e-15,0.000515707
0,2.094085,1.77636e-15,0.000314987
0,1.016673,5.32907e-15,0.000257868
0,3.458858,4.44089e-15,0.00201419
0,1.652255,3.55271e-15,0.0000138113
0,6.098553,1.42109e-14,0.000877605
0,1.540565,4.97380e-14,0.00113428
0,8.603392,5.32907e-15,0.000476485
0,1.015254,3.98792e-13,0.00162063
0,2.480783,1.78524e-13,0.00313089
0,21.88259,8.61533e-13,0.000943077
0,0.9965166,5.32907e-15,0.000580706
0,1.012791,1.42109e-14,0.00143808
0,1.730697,1.77636e-15,0.00306940
0,5.697909,2.30926e-14,0.000697839
0,22.12187,2.84217e-14,0.00143008
0,4.24788,3.55271e-15,0.000327382
0,1.027916,4.44089e-15,0.000261141
0,2.50673,1.77636e-15,0.00250074
0,1.30224,1.77636e-15,0.00277630
0,1.845712,3.55271e-15,0.000966960
0,1.006449,1.42109e-14,0.000623818
0,1.697594,3.55271e-15,0.00260436
0,4.514818,5.32907e-15,0.00204310
0,13.30612,2.39808e-14,0.00106592
0,8.37437,2.30926e-14,0.0000752231
